file,min,max,mean,best_method,best_gamma,conf,text,success
raw_20260123_034408_014_JOURII_b92.png,0,255,91.50014467592592,FIXED,1.0,77,JOURTI,False
raw_20260123_034408_688_JOURI_b66.png,0,255,62.982384366426615,FIXED,0.4,84,JOU,False
raw_20260123_040749_224_JOURII_b87.png,15,255,82.73349086934157,FIXED,1.0,40,JOUR II,True
raw_20260123_040749_921_JOURII_b81.png,15,255,76.94197691615226,OTSU,0.3,48,JOUR II,True
raw_20260123_040750_602_JOURII_b86.png,12,255,81.86320623285323,ADAPTIVE,0.6,26,7,False
raw_20260123_040758_634_JOURII_b92.png,8,255,93.72270447530865,INVERTED,0.3,84,JOUR II,True
raw_20260123_040759_308_JOURII_b122.png,4,255,116.70584972993827,OTSU,0.4,89,JOURII,True
raw_20260123_040759_982_JOURII_b78.png,5,255,76.27251050240055,FIXED,0.4,87,JOUR II,True
raw_20260123_040801_380_JOURII_b61.png,4,179,58.72254104509602,INVERTED,0.8,70,JOUR IL,False
raw_20260123_040827_428_JOURI_b110.png,13,255,108.31134795096023,OTSU,0.4,92,JOUR III,True
raw_20260123_040901_945_JOURT_b84.png,5,255,81.29328489368999,OTSU,0.3,55,JOURIL,False
raw_20260123_040902_814_JOURII_b105.png,3,255,103.28329153806584,FIXED,0.3,83,JOURII,True
raw_20260123_040903_815_JOURII_b102.png,3,255,100.81708140432099,INVERTED,0.3,88,JOUR II,True
raw_20260123_041005_648_JOURI_b92.png,0,255,92.27018497085048,FIXED,0.4,73,JCOR II,False
raw_20260123_041006_309_JOURE_b54.png,0,255,52.02140667866941,OTSU,0.5,90,JOUR II,False
raw_20260123_041007_080_JOURII_b69.png,0,255,67.40086751971879,FIXED,0.6,83,JOUR II,True
raw_20260123_041029_755_JOURIII_b103.png,14,255,96.69349065500685,INVERTED,0.8,86,JOUR III,True
raw_20260123_041030_502_JOURIII_b125.png,9,255,122.05643700703018,INVERTED,0.5,89,JOUR III,True
raw_20260123_041058_501_JOURII_b91.png,14,255,89.02087620027434,FIXED,0.3,71,JOURII,True
raw_20260123_041059_194_JOURII_b82.png,5,255,79.78386488340192,INVERTED,0.4,53,JOUR II,True
raw_20260123_041125_794_JOURIII_b107.png,16,255,104.45389660493827,FIXED,0.6,89,JOUR III,True
raw_20260123_041126_475_JOURIII_b105.png,17,255,102.73457593878601,FIXED,0.6,91,JOUR III,True
raw_20260123_041127_222_JOURIII_b100.png,18,255,97.31354220250343,OTSU,0.6,88,JOUR III,True
raw_20260123_041151_604_JOURI_b196.png,14,255,194.1325552983539,FIXED,0.3,92,JOURI,True
raw_20260123_041152_216_JOURI_b189.png,4,255,187.0366110468107,FIXED,1.0,92,JOURI,True
raw_20260123_041152_884_JOURI_b187.png,1,255,185.23433213305898,FIXED,0.6,92,JOURI,True
raw_20260123_041153_472_JOURI_b187.png,3,255,184.4762624314129,FIXED,0.8,92,JOURI,True
raw_20260123_041154_095_JOURI_b188.png,2,255,186.02119234396434,FIXED,0.3,92,JOURI,True
raw_20260123_041154_734_JOURI_b188.png,2,255,185.89786415466392,FIXED,0.3,92,JOURI,True
raw_20260123_041209_013_JOURII_b130.png,3,255,136.19911426183128,FIXED,0.3,82,JOUR H,False
raw_20260123_041209_981_JOURII_b126.png,4,255,125.81474783521948,FIXED,0.3,83,JOUR II,True
raw_20260123_041309_590_JOURI_b161.png,4,255,162.48360875342937,FIXED,0.5,92,JOURI,True
raw_20260123_041312_965_JOURI_b99.png,5,210,100.8355007930384,ADAPTIVE,0.5,19,JOWRI,False
raw_20260123_041327_280_JOUR_b99.png,0,255,98.53929558899176,INVERTED,0.3,81,JOUR II,False
raw_20260123_041327_958_JOURII_b125.png,0,255,123.38675893775721,OTSU,1.0,76,JG,False
raw_20260123_041348_769_JOURIV_b119.png,19,255,117.11555587705762,OTSU,0.3,88,JOUR III,True
raw_20260123_041415_913_JOURIII_b116.png,47,255,108.23753375771605,INVERTED,0.6,84,JOUR III,True
raw_20260123_041416_566_JOURIII_b129.png,40,255,121.61294903120714,INVERTED,0.4,90,JOUR III,True
raw_20260123_041417_351_JOURII_b110.png,26,255,104.09252561299725,FIXED,0.5,88,JOUR III,True
raw_20260123_041418_056_JOURITI_b139.png,35,255,133.75188078703704,FIXED,0.6,88,JOUR III,True
raw_20260123_041426_663_JOURI_b175.png,5,255,177.21629586762688,FIXED,0.3,92,JOURI,True
raw_20260123_041427_277_JOURI_b146.png,8,255,147.31561053240742,FIXED,0.8,93,JOURI,True
raw_20260123_041427_986_JOURI_b144.png,7,255,145.829920053155,FIXED,0.6,92,JOURI,True
raw_20260123_041428_686_JOURXES_b144.png,14,255,145.57030714163238,FIXED,0.3,0,,False
raw_20260123_041445_632_JOURII_b84.png,5,255,83.00931552211934,FIXED,0.5,80,JOUR I,False
raw_20260123_041446_309_JOURII_b81.png,0,255,80.10719414437585,FIXED,0.3,80,JOUR II,True
raw_20260123_041447_139_JOURII_b95.png,0,255,93.10560003000685,INVERTED,0.8,40,JOUR II,True
raw_20260123_041500_396_JOURIII_b113.png,10,255,111.2355511616941,OTSU,0.3,81,JOUR III,True
raw_20260123_041505_710_JOURIII_b110.png,7,255,108.12170460390946,FIXED,0.4,81,JOUR III,True
raw_20260123_041510_974_JOURI_b112.png,8,255,109.55608871313443,FIXED,1.0,91,JOUR II,True
raw_20260123_041531_907_JOURII_b59.png,1,255,55.80127421982167,FIXED,0.6,78,JOURII,True
raw_20260123_041532_617_JOURII_b62.png,1,255,58.90479788237312,OTSU,0.4,85,JOURII,True
raw_20260123_041533_437_JOURII_b63.png,1,255,60.11317408264746,INVERTED,0.3,87,JOURII,True
raw_20260123_041534_123_JOURII_b63.png,1,255,59.46868569958848,INVERTED,0.4,80,JOURII,True
raw_20260123_041543_872_JOURII_b59.png,1,255,56.140748242455416,OTSU,0.4,85,JOURII,True
raw_20260123_041544_553_JOURII_b60.png,1,255,56.9279942558299,INVERTED,1.0,51,JOUR II,True
raw_20260123_041545_317_JOURI_b64.png,1,255,59.983965084876544,OTSU,0.3,85,JOURII,True
raw_20260125_045624_003_JOURI_b155.png,22,255,149.98443559616558,FIXED,0.3,92,JOURI,True
raw_20260125_045624_539_JOURI_b155.png,22,255,149.98443559616558,FIXED,0.3,92,JOURI,True
raw_20260125_045625_198_JOURI_b155.png,22,255,149.98443559616558,FIXED,0.3,92,JOURI,True
raw_20260125_045625_746_JOURI_b155.png,22,255,149.98443559616558,FIXED,0.3,92,JOURI,True
raw_20260125_045626_397_JOURI_b155.png,22,255,149.98443559616558,FIXED,0.3,92,JOURI,True
raw_20260125_045626_906_JOURI_b155.png,22,255,149.98443559616558,FIXED,0.3,92,JOURI,True
raw_20260125_045627_569_JOURI_b155.png,22,255,149.98443559616558,FIXED,0.3,92,JOURI,True
