file,target,mean,max,min,best_gamma,best_thresh,conf,text,success
raw_20260123_034408_014_JOURII_b92.png,JOUR II,91.5,255,0,3.0,240,51,JOURII,True
raw_20260123_034408_688_JOURI_b66.png,JOUR I,63.0,255,0,3.0,200,80,JOUR II,True
raw_20260123_040749_224_JOURII_b87.png,JOUR II,82.7,255,15,0.6,220,46,JOUR II,True
raw_20260123_040749_921_JOURII_b81.png,JOUR II,76.9,255,15,0.6,150,48,JOUR II,True
raw_20260123_040750_602_JOURII_b86.png,JOUR II,81.9,255,12,1.5,180,18,J JUR I,False
raw_20260123_040758_634_JOURII_b92.png,JOUR II,93.7,255,8,2.4,250,88,JOURII,True
raw_20260123_040759_308_JOURII_b122.png,JOUR II,116.7,255,4,1.0,180,84,JOURII,True
raw_20260123_040759_982_JOURII_b78.png,JOUR II,76.3,255,5,1.5,250,87,JOUR II,True
raw_20260123_040801_380_JOURII_b61.png,JOUR II,58.7,179,4,2.0,150,33,JOUR I,False
raw_20260123_040827_428_JOURI_b110.png,JOUR I,108.3,255,13,1.0,200,92,JOUR III,True
raw_20260123_040901_945_JOURT_b84.png,UNKNOWN,81.3,255,5,1.5,200,76,JOUR II,False
raw_20260123_040902_814_JOURII_b105.png,JOUR II,103.3,255,3,0.6,200,90,JOUR II,True
raw_20260123_040903_815_JOURII_b102.png,JOUR II,100.8,255,3,0.8,200,89,JOUR II,True
raw_20260123_041005_648_JOURI_b92.png,JOUR I,92.3,255,0,0.6,220,83,JOURII,True
raw_20260123_041006_309_JOURE_b54.png,UNKNOWN,52.0,255,0,1.0,180,90,JOUR II,False
raw_20260123_041007_080_JOURII_b69.png,JOUR II,67.4,255,0,0.8,220,84,JOUR II,True
raw_20260123_041029_755_JOURIII_b103.png,JOUR II,96.7,255,14,0.6,250,90,JOUR III,True
raw_20260123_041030_502_JOURIII_b125.png,JOUR II,122.1,255,9,0.8,220,91,JOUR III,True
raw_20260123_041058_501_JOURII_b91.png,JOUR II,89.0,255,14,0.8,200,90,JOUR II,True
raw_20260123_041059_194_JOURII_b82.png,JOUR II,79.8,255,5,3.0,220,94,JOUR II,True
raw_20260123_041125_794_JOURIII_b107.png,JOUR II,104.5,255,16,0.6,240,89,JOUR III,True
raw_20260123_041126_475_JOURIII_b105.png,JOUR II,102.7,255,17,0.6,240,91,JOUR III,True
raw_20260123_041127_222_JOURIII_b100.png,JOUR II,97.3,255,18,1.0,180,88,JOUR III,True
raw_20260123_041151_604_JOURI_b196.png,JOUR I,194.1,255,14,0.6,240,92,JOURI,True
raw_20260123_041152_216_JOURI_b189.png,JOUR I,187.0,255,4,1.0,240,92,JOURI,True
raw_20260123_041152_884_JOURI_b187.png,JOUR I,185.2,255,1,0.6,240,92,JOURI,True
raw_20260123_041153_472_JOURI_b187.png,JOUR I,184.5,255,3,0.8,240,92,JOURI,True
raw_20260123_041154_095_JOURI_b188.png,JOUR I,186.0,255,2,0.6,240,92,JOURI,True
raw_20260123_041154_734_JOURI_b188.png,JOUR I,185.9,255,2,0.6,220,92,JOURI,True
raw_20260123_041209_013_JOURII_b130.png,JOUR II,136.2,255,3,1.5,250,80,JOUR II,True
raw_20260123_041209_981_JOURII_b126.png,JOUR II,125.8,255,4,0.6,250,96,JOUR,False
raw_20260123_041309_590_JOURI_b161.png,JOUR I,162.5,255,4,0.6,220,92,JOURI,True
raw_20260123_041312_965_JOURI_b99.png,JOUR I,100.8,210,5,0,0,0,,False
raw_20260123_041327_280_JOUR_b99.png,UNKNOWN,98.5,255,0,1.5,220,86,JOUR II,False
raw_20260123_041327_958_JOURII_b125.png,JOUR II,123.4,255,0,0.6,240,43,JOUR,False
raw_20260123_041348_769_JOURIV_b119.png,JOUR I,117.1,255,19,0.6,180,88,JOUR III,True
raw_20260123_041415_913_JOURIII_b116.png,JOUR II,108.2,255,47,1.5,220,88,JOUR III,True
raw_20260123_041416_566_JOURIII_b129.png,JOUR II,121.6,255,40,1.0,200,88,JOUR III,True
raw_20260123_041417_351_JOURII_b110.png,JOUR II,104.1,255,26,0.6,240,88,JOUR III,True
raw_20260123_041418_056_JOURITI_b139.png,JOUR I,133.8,255,35,0.6,200,93,J OUR III,True
raw_20260123_041426_663_JOURI_b175.png,JOUR I,177.2,255,5,0.6,250,92,JOURI,True
raw_20260123_041427_277_JOURI_b146.png,JOUR I,147.3,255,8,0.8,240,93,JOURI,True
raw_20260123_041427_986_JOURI_b144.png,JOUR I,145.8,255,7,0.6,220,92,JOURI,True
raw_20260123_041428_686_JOURXES_b144.png,UNKNOWN,145.6,255,14,0.6,220,91,JOURI,False
raw_20260123_041445_632_JOURII_b84.png,JOUR II,83.0,255,5,2.0,250,80,JOUR I,False
raw_20260123_041446_309_JOURII_b81.png,JOUR II,80.1,255,0,1.0,250,80,JOUR II,True
raw_20260123_041447_139_JOURII_b95.png,JOUR II,93.1,255,0,1.0,150,46,JOUR II,True
raw_20260123_041500_396_JOURIII_b113.png,JOUR II,111.2,255,10,0.8,200,81,JOUR III,True
raw_20260123_041505_710_JOURIII_b110.png,JOUR II,108.1,255,7,0.6,180,83,JOUR III,True
raw_20260123_041510_974_JOURI_b112.png,JOUR I,109.6,255,8,1.0,240,91,JOUR II,True
